temperature,pressure,purity,speed,quality_score
218,62,97.2,299,7.8
243,49,87.14,442,5.26
156,83,89.86,292,5.56
143,41,86.31,309,4.03
212,52,95.93,160,7.35
165,79,92.02,287,6.42
214,41,85.64,227,6.51
218,104,96.04,226,8.45
235,102,77.36,403,7.3
186,112,74.72,407,4.82
247,56,74.81,469,3.87
137,48,80.02,440,2.15
144,114,77.16,412,4.47
173,54,97.9,234,6.69
177,63,73.18,295,3.94
186,77,90.97,472,4.79
223,74,75.68,191,6.8
143,88,96.45,274,7.03
233,108,98.84,316,8.67
151,101,83.96,390,4.27
205,99,96.37,429,6.61
246,89,70.15,337,6.01
249,117,94.6,451,7.35
136,114,76.86,168,6.58
223,48,97.26,217,7.32
162,73,70.03,367,3.21
158,115,86.69,251,7.08
145,74,92.7,191,6.38
218,40,77.76,437,3.64
169,79,75.79,316,4.25
132,103,72.52,258,5.0
179,61,79.79,185,7.25
176,99,86.8,381,4.75
155,103,73.48,378,4.07
139,111,81.3,313,5.76
184,50,70.27,222,5.09
127,53,94.56,285,5.07
234,99,73.85,219,6.91
211,69,78.5,345,5.5
217,74,70.55,418,4.12
185,76,82.97,198,7.22
151,44,95.2,465,3.87
205,117,81.76,279,8.27
170,65,75.38,154,6.47
182,101,92.61,176,8.18
244,43,93.66,309,6.96
177,81,75.21,298,4.91
177,57,93.13,413,4.7
205,79,98.42,379,6.13
168,111,74.99,349,4.99
189,78,93.13,199,8.15
134,53,91.26,216,5.05
173,71,84.21,449,4.31
220,90,71.74,207,7.58
127,77,72.24,408,2.49
172,62,95.57,491,2.81
179,102,99.7,475,4.92
227,54,90.28,279,7.45
124,64,83.38,364,3.42
222,56,89.43,321,5.76
125,105,87.83,407,3.82
228,117,81.51,251,8.2
235,92,71.97,358,5.96
213,90,94.65,440,5.65
166,78,81.16,435,3.52
218,90,94.56,265,7.56
174,109,77.58,413,4.03
171,45,70.03,299,4.69
132,106,74.77,449,2.79
233,46,84.06,185,7.99
243,90,98.33,482,6.93
225,111,73.07,436,5.56
239,81,95.63,452,5.87
182,103,85.81,460,4.75
138,54,94.78,357,4.34
211,68,78.95,255,5.83
177,72,95.2,307,6.26
209,66,93.18,270,6.37
236,75,76.9,204,7.94
181,68,73.94,161,6.09
142,77,96.04,294,5.74
246,96,98.9,285,8.67
248,66,70.94,152,7.5
177,94,91.94,293,6.76
241,72,97.29,179,8.77
120,107,95.72,386,5.16
153,105,98.94,428,4.51
215,49,92.8,497,4.34
245,44,83.27,264,7.66
237,113,79.36,253,7.27
167,77,79.62,267,5.08
208,52,91.73,154,8.06
236,70,92.38,397,6.27
248,86,76.01,470,5.08
135,91,96.04,270,6.26
188,95,91.45,435,5.47
141,54,86.88,298,5.08
212,68,84.15,233,7.06
195,47,86.3,380,4.53
205,44,74.78,437,3.77
148,68,76.11,310,5.06
188,86,72.73,421,3.87
166,107,74.61,187,6.04
213,115,83.61,375,6.77
204,84,85.91,291,6.43
158,41,70.54,441,1.0
219,66,93.9,300,7.3
152,75,78.83,263,4.78
220,75,97.36,386,6.33
142,65,99.03,215,6.62
129,82,75.56,490,2.11
188,66,83.86,407,4.76
219,108,70.04,398,4.89
153,59,87.95,480,3.25
215,50,88.22,472,4.14
120,113,77.43,329,4.64
188,77,86.75,339,5.85
123,45,76.77,303,2.81
135,111,74.82,345,4.76
143,62,89.55,460,2.9
199,86,79.78,411,5.12
121,85,87.71,292,5.01
247,51,83.0,491,5.33
203,52,99.53,465,4.75
243,101,74.49,250,7.2
152,99,83.94,393,4.42
220,82,90.41,161,8.34
131,115,81.87,388,4.6
186,107,99.24,198,7.63
184,44,91.66,191,6.22
193,76,89.71,315,5.57
162,111,92.71,231,7.66
163,70,98.58,440,5.38
148,48,97.23,307,5.09
131,90,91.73,365,4.53
214,68,92.47,307,6.68
165,117,74.38,283,6.2
249,79,73.08,216,6.89
154,80,87.13,485,3.44
200,50,70.55,156,6.68
209,62,84.47,163,7.7
127,40,76.31,222,4.19
212,85,80.38,312,6.58
209,60,93.27,215,6.12
234,75,98.24,496,5.88
224,93,72.17,279,6.02
177,96,86.03,355,4.57
233,40,96.48,425,5.75
194,102,72.48,405,5.19
239,93,94.74,415,6.59
140,94,80.73,174,6.69
220,79,79.66,430,5.62
218,54,99.32,402,6.52
155,60,76.03,459,3.31
215,86,90.8,438,5.86
156,112,94.64,313,6.36
131,92,71.24,244,3.85
232,48,90.11,419,5.17
132,113,98.55,470,3.98
142,91,73.73,259,5.9
218,96,96.89,485,5.56
224,65,87.84,459,4.93
149,80,88.5,387,4.63
136,74,88.39,174,6.27
232,102,78.97,290,7.83
181,64,98.06,266,6.36
203,114,98.42,174,9.22
231,77,88.76,228,7.44
205,41,93.5,217,6.33
138,46,88.37,322,3.86
219,73,84.53,161,7.9
195,56,89.82,437,4.22
128,82,86.59,277,4.67
147,98,87.92,245,5.48
247,90,93.51,241,8.53
171,93,84.43,290,5.14
202,63,71.22,180,6.66
230,64,74.92,483,3.92
236,110,83.16,169,8.12
188,91,91.74,295,6.47
218,109,87.8,465,5.16
144,72,89.51,309,5.16
242,88,84.38,498,5.71
172,68,88.47,192,5.81
176,102,79.87,403,4.69
158,61,84.11,279,4.99
228,65,92.33,209,8.27
161,67,96.15,300,5.9
241,88,83.01,436,5.25
194,110,71.31,154,7.16
195,120,74.85,415,4.56
128,88,70.63,494,2.28
193,59,89.6,279,6.15
126,102,79.97,416,4.35
146,100,86.27,327,5.16
241,88,84.8,402,5.75
124,110,72.45,205,4.59
148,40,82.1,232,3.95
202,52,76.62,248,4.92
228,90,82.55,298,6.96
184,95,76.11,478,3.87
205,101,95.21,305,6.53
190,71,75.23,339,5.16
164,69,98.82,412,4.63
155,68,82.48,229,5.64
189,88,95.39,401,6.46
138,84,88.86,246,6.18
227,69,92.06,409,5.69
210,55,93.03,409,4.81
209,79,85.15,252,5.83
138,58,86.3,189,5.34
158,57,85.42,422,3.43
245,40,87.64,250,6.6
245,117,70.88,457,5.19
177,86,81.87,370,4.87
180,105,88.19,457,4.63
246,77,87.93,273,7.27
224,90,93.79,380,6.67
120,102,89.65,327,5.1
250,43,99.76,212,7.91
211,40,78.52,265,6.28
232,47,80.77,340,5.47
175,68,81.52,211,6.14
236,94,83.97,405,6.36
177,42,95.08,156,7.26
163,71,77.07,304,5.11
180,49,93.28,241,6.45
166,113,82.16,163,7.08
199,73,88.06,378,5.55
237,94,88.98,235,7.64
139,71,81.19,282,4.68
166,89,85.38,332,5.28
168,46,82.39,211,5.51
133,47,72.07,368,2.46
120,104,83.11,395,2.85
236,96,72.92,379,5.36
173,106,82.15,228,6.73
237,98,87.79,298,7.6
122,111,87.38,287,4.89
131,93,89.88,463,4.11
193,106,72.86,214,6.25
135,90,89.56,162,7.22
221,47,79.36,362,5.16
236,73,81.97,391,5.32
127,74,95.74,362,5.37
241,117,70.27,330,5.92
211,71,87.65,487,4.84
209,85,87.96,322,6.9
179,55,81.9,309,4.61
147,107,77.11,313,5.58
220,76,77.04,337,5.49
160,93,96.51,340,6.01
165,53,83.26,457,3.21
154,94,79.93,405,3.93
201,87,83.46,332,6.28
234,46,90.08,266,7.33
166,113,74.37,431,3.13
129,46,83.48,345,4.03
175,72,87.64,183,6.1
149,62,98.46,201,7.16
228,58,77.58,261,6.84
124,58,80.78,401,2.22
238,75,81.38,231,7.2
152,68,88.17,381,3.7
237,99,80.7,376,6.14
